Real,Prediccion,Riesgo
4.08333333333333,5.148984,BAJO (Bueno)
47.8461538461538,49.265636,ALTO (Dañino Sensible)
8.08333333333333,8.416802,BAJO (Bueno)
1.7499999999999998,4.0275226,BAJO (Bueno)
28.4166666666667,29.91215,MEDIO (Moderado)
25.25,26.575039,MEDIO (Moderado)
3.16666666666667,3.8997242,BAJO (Bueno)
38.0,39.64701,ALTO (Dañino Sensible)
29.9166666666667,32.276035,MEDIO (Moderado)
2.58333333333333,4.4999804,BAJO (Bueno)
5.5,5.895817,BAJO (Bueno)
0.0,2.290953,BAJO (Bueno)
2.25,3.6252143,BAJO (Bueno)
3.83333333333333,4.9143343,BAJO (Bueno)
38.3333333333333,40.335327,ALTO (Dañino Sensible)
22.6666666666667,24.297361,MEDIO (Moderado)
1.6666666666666698,2.6665273,BAJO (Bueno)
13.4166666666667,14.124789,MEDIO (Moderado)
16.5833333333333,17.229998,MEDIO (Moderado)
31.0,33.502872,MEDIO (Moderado)
0.833333333333333,1.9684802,BAJO (Bueno)
3.16666666666667,4.2809772,BAJO (Bueno)
3.75,4.4062243,BAJO (Bueno)
36.6666666666667,37.802788,ALTO (Dañino Sensible)
17.0833333333333,17.89303,MEDIO (Moderado)
3.0,4.56586,BAJO (Bueno)
30.75,32.949936,MEDIO (Moderado)
27.500000000000004,29.027523,MEDIO (Moderado)
21.8333333333333,22.339378,MEDIO (Moderado)
15.5833333333333,16.51038,MEDIO (Moderado)
12.9166666666667,13.288335,MEDIO (Moderado)
21.25,22.513332,MEDIO (Moderado)
21.166666666666696,22.037973,MEDIO (Moderado)
5.91666666666667,6.9160333,BAJO (Bueno)
20.8333333333333,21.778671,MEDIO (Moderado)
9.33333333333333,9.328249,BAJO (Bueno)
26.833333333333304,28.983343,MEDIO (Moderado)
28.7482014388489,31.041742,MEDIO (Moderado)
45.91666666666669,47.809364,ALTO (Dañino Sensible)
33.1666666666667,35.164524,MEDIO (Moderado)
15.0,15.535307,MEDIO (Moderado)
40.2666666666667,41.999706,ALTO (Dañino Sensible)
3.75,4.680693,BAJO (Bueno)
8.25,8.51877,BAJO (Bueno)
26.3333333333333,27.751696,MEDIO (Moderado)
56.66666666666669,56.862724,MUY ALTO (Dañino)
0.0,1.9155854,BAJO (Bueno)
3.66666666666667,5.2837224,BAJO (Bueno)
9.66666666666667,9.975039,BAJO (Bueno)
42.1666666666667,43.77188,ALTO (Dañino Sensible)
54.75,55.06896,ALTO (Dañino Sensible)
5.33333333333333,6.6359386,BAJO (Bueno)
11.75,12.928114,MEDIO (Moderado)
24.5833333333333,26.001774,MEDIO (Moderado)
0.0,1.6186647,BAJO (Bueno)
30.5833333333333,32.039146,MEDIO (Moderado)
4.91666666666667,6.180531,BAJO (Bueno)
15.3333333333333,15.592282,MEDIO (Moderado)
22.0833333333333,23.076164,MEDIO (Moderado)
82.9166666666667,84.75245,MUY ALTO (Dañino)
10.249999999999998,10.702705,BAJO (Bueno)
21.25,21.559526,MEDIO (Moderado)
0.0,1.5899017,BAJO (Bueno)
49.0833333333333,50.061703,ALTO (Dañino Sensible)
11.5,11.607978,BAJO (Bueno)
2.66666666666667,4.10796,BAJO (Bueno)
6.83333333333333,8.415994,BAJO (Bueno)
21.0769230769231,21.522596,MEDIO (Moderado)
40.75,42.644924,ALTO (Dañino Sensible)
18.0,18.01345,MEDIO (Moderado)
20.0,16.211641,MEDIO (Moderado)
